"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
,"Guerzanguerit","Boulvriag",22013,"Kêriadenn","Gwerzangirid",,,
,"Hars","Boulvriag",22013,"Kêriadenn","Ar C'harzh",,,
,"Helloc'h","Boulvriag",22013,"Kêriadenn","Heloc'h",,,
,"Honou","Boulvriag",22013,"Kêriadenn","Ar C'honoù",,,
,"Keranflech","Boulvriag",22013,"Kêriadenn","Kerflec'h",,,
,"Keranroue","Boulvriag",22013,"Kêriadenn","Keranroue",,,
,"Keratret","Boulvriag",22013,"Kêriadenn","Keratred",,,
,"Kerborzic","Boulvriag",22013,"Kêriadenn","Kerborzig",,,
,"Kerbars","Boulvriag",22013,"Kêriadenn","Kerbarzh",,,
,"Kerdonat","Boulvriag",22013,"Kêriadenn","Kerdonnad",,,
,"Kergoarin","Boulvriag",22013,"Kêriadenn","Kerwarin",,,
,"Kergoff","Boulvriag",22013,"Kêriadenn","Kergov",,,
,"Kergouan","Boulvriag",22013,"Kêriadenn","Kergouan",,,
,"Kerguissec","Boulvriag",22013,"Kêriadenn","Kergwiseg",,,
,"Kergus","Boulvriag",22013,"Kêriadenn","Kerguz",,,
,"Kerhardy","Boulvriag",22013,"Kêriadenn","Kerhardi",,,
,"Kerias","Boulvriag",22013,"Kêriadenn","Keriaz",,,
,"Cosquer Kerias","Boulvriag",22013,"Kêriadenn","Kozhkêr Keriaz",,,
,"Kerichenou","Boulvriag",22013,"Kêriadenn","Kerichennoù",,,
,"Keriolet","Boulvriag",22013,"Kêriadenn","Kerioled",,,
,"Keriot","Boulvriag",22013,"Kêriadenn","Keriod",,,
,"Keriou Langoat","Boulvriag",22013,"Kêriadenn","Kerrioù Langoad",,,
,"Kerivoa","Boulvriag",22013,"Kêriadenn","Kerivoa",,,
,"Kerjalous","Boulvriag",22013,"Kêriadenn","Kerjalouz",,,
,"Kerlahaye","Boulvriag",22013,"Kêriadenn","Kerlahae",,,
,"Kerlec","Boulvriag",22013,"Kêriadenn","Kerleg",,,
,"Kerleign","Boulvriag",22013,"Kêriadenn","Kerlein",,,
,"Kerlo Vian","Boulvriag",22013,"Kêriadenn","Kerlo Vihan",,,
,"Kerlo Vraz","Boulvriag",22013,"Kêriadenn","Kerlo Vras",,,
,"Kermabrinou","Boulvriag",22013,"Kêriadenn","Kermabrinoù",,,
,"Kervoaic","Boulvriag",22013,"Kêriadenn","Kerwaig",,,
,"Kervouezou","Boulvriag",22013,"Kêriadenn","Kerwezoù",,,
,"Kroaz Maez an Oten","Boulvriag",22013,"Kêriadenn","Kroaz Maez an Otenn",,,
,"Parcou Bizien","Boulvriag",22013,"Kêriadenn","Parkoù Bizien",,,
,"Pors Kergus","Boulvriag",22013,"Hent","Porzh Kerguz",,,
,"Pont Preuig","Boulvriag",22013,"Diseurt","Pont Preuig",,,
,"Pors Gouriou","Boulvriag",22013,"Hent","Porzh Gourioù",,,
,"Pen ar Hoat","Boulvriag",22013,"Hent","Penn ar C'hoad",,,
,"Lavaquer","Boulvriag",22013,"Kêriadenn","Lavaker",,,
,"Leindevet","Boulvriag",22013,"Kêriadenn","Leindeñved",,,
,"Liscuis","Boulvriag",22013,"Kêriadenn","Liskuiz",,,
,"Lojou","Boulvriag",22013,"Kêriadenn","Lojoù",,,
,"Mery Langoat","Boulvriag",22013,"Kêriadenn","Meri Langoad",,,
,"Nech Bian","Boulvriag",22013,"Kêriadenn","Nec'h Vihan",,,
,"Parc Buil","Boulvriag",22013,"Kêriadenn","Park ar Bouilh",,,
,"Parc Loge","Boulvriag",22013,"Kêriadenn","Park Loj",,,
,"Parco Rod","Boulvriag",22013,"Kêriadenn","Parkoù Rod",,,
,"Penker Lojou","Boulvriag",22013,"Kêriadenn","Penkêr Lojoù",,,
,"Penleguer Vian","Boulvriag",22013,"Kêriadenn","Penn Leger Vihan",,,
,"Penleguer Vras","Boulvriag",22013,"Kêriadenn","Penn Leger Vras",,,
,"Penquer Glas","Boulvriag",22013,"Kêriadenn","Penkêr Glas",,,
,"Pont Ider","Boulvriag",22013,"Hent","Pont Ider",,,
,"Pors an Fouler","Boulvriag",22013,"Kêriadenn","Porzh ar Fouler",,,
,"Pors an Pantier","Boulvriag",22013,"Kêriadenn","Porzh ar Pantier",,,
,"Poteau","Boulvriag",22013,"Kêriadenn","Poto",,,
,"Poul Voas Quelen","Boulvriag",22013,"Kêriadenn","Poull Wazh Kelenn",,,
,"Prat Nay","Boulvriag",22013,"Kêriadenn","Prad Nae",,,
,"Tachen Prat Nay","Boulvriag",22013,"Kêriadenn","Tachenn Prad Nae",,,
,"Rest Vian","Boulvriag",22013,"Kêriadenn","Rest Vihan",,,
,"Rest Vraz","Boulvriag",22013,"Kêriadenn","Rest Vras",,,
,"Restancornou","Boulvriag",22013,"Kêriadenn","Restarc'hornoù",,,
,"Restigou","Boulvriag",22013,"Kêriadenn","Restigoù",,,
,"Rohello","Boulvriag",22013,"Kêriadenn","Roc'helloù",,,
,"Roz Berou","Boulvriag",22013,"Kêriadenn","Roz Berou",,,
,"Rubertel","Boulvriag",22013,"Kêriadenn","Rubertel",,,
,"Ruil","Boulvriag",22013,"Kêriadenn","Ar Ruilh",,,
"Fontaine","Saint Laurent","Boulvriag",22013,"Kêriadenn","Feunteun Sant Laorañs",,,
,"Saint-Houarneau","Boulvriag",22013,"Kêriadenn","Sant-Houarne",,,
,"Saint-Jude","Boulvriag",22013,"Kêriadenn","Sant-Jud",,,
"Les","Salles","Boulvriag",22013,"Kêriadenn","Sal Krec'h Kann",,,
,"Scoassel","Boulvriag",22013,"Kêriadenn","Skoasell",,,
,"Stanguenat","Boulvriag",22013,"Kêriadenn","Stangenad",,,
,"Tanouedou","Boulvriag",22013,"Kêriadenn","Tannoedoù",,,
,"Toul Goue","Boulvriag",22013,"Kêriadenn","Toull Gouez",,,
,"Tournemine","Boulvriag",22013,"Kêriadenn","Tornmin",,,
,"Ty Martin","Boulvriag",22013,"Kêriadenn","Ti Vartin",,,
,"Ty Nevez Mouric","Boulvriag",22013,"Kêriadenn","Ti Nevez Mourig",,,
,"Ty Prit","Boulvriag",22013,"Kêriadenn","Ti Pirid",,,
,"Ty Ruliou","Boulvriag",22013,"Kêriadenn","Ti Rulioù",,,
,"Ty Vidou","Boulvriag",22013,"Kêriadenn","Tividoù",,,
,"Ville Neuve Chermat","Boulvriag",22013,"Kêriadenn","Ar Gernevez Chervad",,,
,"Villeneuve Cite","Boulvriag",22013,"Kêriadenn","Ar Gernevez Bourk",,,
,"Goerdelez","Boulvriag",22013,"Kêriadenn","Gwerdelez",,,
,"Kerliviou","Boulvriag",22013,"Kêriadenn","Kerlivioù",,,
,"Croaz Narmed","Boulvriag",22013,"Diseurt","Kroazanarmed",,,
,"Croas an Gloan","Boulvriag",22013,"Hent","Gwazh Gloan",,,
,"Hent Dre","Boulvriag",22013,"Hent","Hent Dreñv",,,
,"Hent Garenn","Boulvriag",22013,"Hent","Hent Garenn",,,
,"Very Goz","Boulvriag",22013,"Kêriadenn","Ar Veri Gozh",,,
,"Very Vian","Boulvriag",22013,"Kêriadenn","Ar Veri Vihan",,,
,"Losten","Boulvriag",22013,"Kêriadenn","Lostenn",,,
,"Lostenn Greiz","Boulvriag",22013,"Kêriadenn","Lostenn Greiz",,,
,"Coat Vers","Boulvriag",22013,"Kêriadenn","Koad ar Ver",,,
,"Kermarc","Boulvriag",22013,"Kêriadenn","Kermark",,,
,"Lezard","Boulvriag",22013,"Kêriadenn","Lezarzh",,,
,"Logoray Vian","Boulvriag",22013,"Kêriadenn","Logorê Vihan",,,
,"Pen Quelen","Boulvriag",22013,"Kêriadenn","Penn Gelenn",,,
,"Rostier","Boulvriag",22013,"Kêriadenn","Rostier",,,
,"Nenejou","Boulvriag",22013,"Kêriadenn","An Enejoù",,,
,"Nonenou","Boulvriag",22013,"Kêriadenn","An Onnennoù",,,
,"Keruliou","Boulvriag",22013,"Hent","Kerrulioù",,,
,"Saint-Houarneau Coz","Boulvriag",22013,"Kêriadenn","Sant-Houarne Gozh",,,
"Metairie du","Helloc'h","Boulvriag",22013,"Kêriadenn","Meri Heloc'h",,,
,"Langoat","Boulvriag",22013,"Kêriadenn","Langoad",,,
"Rue","Saint-Yves","Boulvriag",22013,"Hent","Straed Sant-Iwan",,,
,"Danouedic","Boulvriag",22013,"Kêriadenn","An Dannoedig",,,
,"Ponto","Boulvriag",22013,"Monumant","Pontoù",,,
,"Pont Croaz","Boulvriag",22013,"Monumant","Pont Kroaz",,,
"Moulin de","Tal an Dour","Boulvriag",22013,"Kêriadenn","Milin Tal an Dour",,,
,"Placen Cosquer","Boulvriag",22013,"Kêriadenn","Tachenn ar Gozhkêr",,,
,"Belle Vue","Boulvriag",22013,"Kêriadenn","Belle Vue",,,
"Aire de","Pont Preuig","Boulvriag",22013,"Diseurt","Leur Pont Preuig",,,
"Aire de","Croaz Narmed","Boulvriag",22013,"Diseurt","Leur Kroazanarmed",,,
"Rue de","Gwas ar Mogn","Boulvriag",22013,"Hent","Straed Gwazh ar Mogn",,,
"Chapelle de","Pempinot","Boulvriag",22013,"Monumant","Chapel Pempinod",,,
"Chapelle du","Penity","Boulvriag",22013,"Monumant","Chapel Peniti",,,
"Fontaine","Saint Briac","Boulvriag",22013,"Monumant","Feunteun Sant Briag",,,
"Moulin de","Crec'h Gautier","Boulvriag",22013,"Kêriadenn","Milin Krec'h Gaoter",,,
,"Goarem Morvan","Boulvriag",22013,"Maez","Gwaremm Morvan",,,
,"Park Hastel","Boulvriag",22013,"Kêriadenn","Park ar C'hastell",,,
"Eglise","Saint Briac","Boulvriag",22013,"Monumant","Iliz Sant Briag",,,
,"Bourseul","Boursaout",22014,"Kumun","Boursaout",,,
,"Saint-Méen","Boursaout",22014,"Kêriadenn","Sant Meven",,,
,"Bréhand","Brehant-Monkontour",22015,"Kumun","Brehant-Monkontour",,,
"Le","Vau-Jaune","Brehant-Monkontour",22015,"Kêriadenn","Le Vau-Jaune",,,
,"Saint-Michel","Enez-Vriad",22016,"Kêriadenn","Kervikael",,,
"Pointe du","Paon","Enez-Vriad",22016,"Beg","Beg ar Paun",,,
"Île","Béniguet","Enez-Vriad",22016,"Enez","Benniged",,,
"Le","Bourg","Enez-Vriad",22016,"Kêriadenn","Ar Bourk",,,
,"Île de Bréhat","Enez-Vriad",22016,"Kumun","Enez-Vriad",,,
"Île de","Bréhat","Enez-Vriad",22016,"Enez","Enez-Vriad",,,
"Plateau des","Echaudés","Enez-Vriad",22016,"Diseurt","Ar C'haoueded",,,
"La","Horaine","Enez-Vriad",22016,"Karreg","An Arouolenn",,,
"Ile","Lavrec","Enez-Vriad",22016,"Enez","Enez Lavred",,,
"Île","Logodec","Enez-Vriad",22016,"Enez","Logodeg",,,
"Plateau de","Men-Marc'h","Enez-Vriad",22016,"Diseurt","Kein Maen Marc'h",,,
"Phare du","Paon","Enez-Vriad",22016,"Monumant","Tour-Tan ar Paun",,,
,"Port-Clos","Enez-Vriad",22016,"Kêriadenn","Porzh-Kae",,,
"Chapelle","Saint-Michel","Enez-Vriad",22016,"Monumant","Chapel Kervikael",,,
,"Crec'h Tarek","Enez-Vriad",22016,"Kêriadenn","Krec'h Tareg",,,
,"Crec'h ar Pot","Enez-Vriad",22016,"Kêriadenn","Krec'h ar Pod",,,
,"Guerzido","Enez-Vriad",22016,"Kêriadenn","Ar Gwerzhidoù",,,
"Pont","Vauban","Enez-Vriad",22016,"Monumant","Pont ar Prad",,,
