"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
,"Keridog","Landeda",29101,"Kêriadenn","Keridog Kermengi",18/04/2019,151959
,"Mechou Aodren","Landeda",29101,"Kêriadenn","Mechoù Aodren",18/04/2019,151961
,"Mezedern","Landeda",29101,"Kêriadenn","Mezedern",18/04/2019,151945
"Lotissement","Park ar Rugell","Landeda",29101,"Hent","Lodennaoueg Park ar Rugell",18/04/2019,151971
,"Porz Matheano","Landeda",29101,"Diseurt","Porzh Mateano",18/04/2019,151966
,"Poul ar Barbu","Landeda",29101,"Kêriadenn","Poull ar Barbu",18/04/2019,14291
"Le","Sémaphore","Landeda",29101,"Monumant","Ar Semafor",18/04/2019,152024
"Route du","Sémaphore","Landeda",29101,"Hent","Hent ar Semafor",18/04/2019,152040
"Le","Stonc","Landeda",29101,"Kêriadenn","Ar Stounk",18/04/2019,151569
,"Traouiltic","Landeda",29101,"Kêriadenn","Traoñ Ildig",18/04/2019,151953
,"Villioc'h","Landeda",29101,"Kêriadenn","Ar Viliog",18/04/2019,151957
,"Croas Creis","Landeda",29101,"Diseurt","Kroaz Kreiz",18/04/2019,151973
,"Pen ar valy","Landeda",29101,"Diseurt","Penn ar Vali",18/04/2019,152043
"Rue des","Menhirs","Boulvriag",22013,"Hent","Straed ar Mein-hir",17/04/2019,151985
"Place du","Centre","Boulvriag",22013,"Hent","Plasenn Greiz",17/04/2019,151994
"La","Trinité-Langonnet","Langoned",56100,"Rann (eus ar gumun)","An Drinded Langoned",17/04/2019,8503
"Rue du","Tumulus","Boulvriag",22013,"Hent","Straed ar Grugell",17/04/2019,151984
,"Ar Vrennig","Landeda",29101,"Kêriadenn","Ar Vrennig",16/04/2019,150983
"La","Caserne","Landeda",29101,"Kêriadenn","Ar C'hazarn",16/04/2019,151938
,"Cleguer Meur","Landeda",29101,"Kêriadenn","Kleger Meur",16/04/2019,150992
,"Ganabroc","Landeda",29101,"Kêriadenn","Ar Ganabrog",16/04/2019,151010
,"Kerhuel","Landeda",29101,"Kêriadenn","Keruhel",16/04/2019,151930
,"Kervian","Landeda",29101,"Kêriadenn","Kervihan",16/04/2019,151937
,"Kernevez","Landeda",29101,"Kêriadenn","Kernevez",16/04/2019,151933
,"Bel Air","Landeda",29101,"Kêriadenn","Bel Air",16/04/2019,150986
,"Cameuleut","Landeda",29101,"Kêriadenn","Kameuleud",16/04/2019,150989
,"Kampoualc'h","Landeda",29101,"Kêriadenn","Kampoualc'h",16/04/2019,150990
